SERIALNO,SPORDER,WGTP,PWGTP,HINCP,NP,NOC,GRPIP,MHP,FINCP,MRGP,OCPIP,STATE,TEN,HHT,HHT2,HUPAOC,CIT,FER
2023HU0827025,2,124,123,211000,2,0,0,-1,211000,1100,11,27,1,1,02,4,1,b
2023HU0827076,1,174,174,162800,2,0,0,-1,162800,800,8,27,1,1,02,4,1,b
2023HU0827076,2,174,160,162800,2,0,0,-1,162800,800,8,27,1,1,02,4,1,b
2023HU0827130,1,72,72,121500,4,0,0,-1,121500,930,11,27,1,1,02,4,1,b
2023HU0827130,2,72,22,121500,4,0,0,-1,121500,930,11,27,1,1,02,4,1,b
2023HU0827130,3,72,15,121500,4,0,0,-1,121500,930,11,27,1,1,02,4,1,b
2023HU0827130,4,72,15,121500,4,0,0,-1,121500,930,11,27,1,1,02,4,1,b
2023HU0827154,1,32,32,35600,2,0,0,-1,35600,0,22,27,2,1,02,4,1,b
2023HU0827154,2,32,21,35600,2,0,0,-1,35600,0,22,27,2,1,02,4,1,b
2023HU0827185,1,253,253,76000,2,0,0,-1,76000,1800,35,27,1,1,02,4,1,b
2023HU0827185,2,253,313,76000,2,0,0,-1,76000,1800,35,27,1,1,02,4,1,b
2023HU0827287,1,16,16,9400,1,0,0,-1,-60000,0,101,27,2,4,09,4,1,b
2023HU0827288,1,25,25,119500,4,1,0,-1,119500,2600,30,27,1,1,01,2,1,b
2023HU0827288,2,25,39,119500,4,1,0,-1,119500,2600,30,27,1,1,01,2,1,2
2023HU0827288,3,25,28,119500,4,1,0,-1,119500,2600,30,27,1,1,01,2,1,b
2023HU0827288,4,25,30,119500,4,1,0,-1,119500,2600,30,27,1,1,01,2,1,b
2023HU0827351,1,24,24,39500,1,0,0,-1,-60000,0,14,27,2,4,09,4,1,b
2023HU0827393,1,22,23,109700,2,0,0,-1,109700,0,9,27,2,1,02,4,1,b
2023HU0827393,2,22,29,109700,2,0,0,-1,109700,0,9,27,2,1,02,4,1,b
2023HU0827436,1,348,348,105100,2,0,0,-1,105100,1600,20,27,1,2,11,4,1,b
2023HU0827436,2,348,226,105100,2,0,0,-1,105100,1600,20,27,1,2,11,4,1,b
2023HU0827609,1,84,83,128000,3,1,0,-1,128000,370,11,27,1,1,01,2,1,b
2023HU0827609,2,84,71,128000,3,1,0,-1,128000,370,11,27,1,1,01,2,1,b
2023HU0827609,3,84,63,128000,3,1,0,-1,128000,370,11,27,1,1,01,2,1,2
2023HU0827728,1,144,144,88000,2,0,11,-1,-60000,0,0,27,3,5,04,4,1,b
2023HU0827728,2,144,251,88000,2,0,11,-1,-60000,0,0,27,3,5,04,4,1,2
2023HU0827997,1,155,155,44500,1,0,0,-1,-60000,0,22,27,2,4,09,4,1,b
2023HU0828112,1,83,84,34610,1,0,0,-1,-60000,820,40,27,1,4,09,4,1,b
2023HU0828146,1,61,61,140000,2,0,0,-1,140000,0,5,27,2,1,02,4,1,b
2023HU0828146,2,61,37,140000,2,0,0,-1,140000,0,5,27,2,1,02,4,1,b
2023HU0828174,1,78,79,110000,6,4,0,-1,110000,750,14,27,1,1,01,3,1,1
2023HU0828174,2,78,75,110000,6,4,0,-1,110000,750,14,27,1,1,01,3,1,b
2023HU0828174,3,78,76,110000,6,4,0,-1,110000,750,14,27,1,1,01,3,1,b
2023HU0828174,4,78,93,110000,6,4,0,-1,110000,750,14,27,1,1,01,3,1,b
2023HU0828174,5,78,81,110000,6,4,0,-1,110000,750,14,27,1,1,01,3,1,b
2023HU0828174,6,78,80,110000,6,4,0,-1,110000,750,14,27,1,1,01,3,1,b
2023HU0828417,1,282,282,189000,4,0,0,-1,189000,0,4,27,2,1,02,4,1,2
2023HU0828417,2,282,182,189000,4,0,0,-1,189000,0,4,27,2,1,02,4,1,b
2023HU0828417,3,282,270,189000,4,0,0,-1,189000,0,4,27,2,1,02,4,1,2
2023HU0828417,4,282,237,189000,4,0,0,-1,189000,0,4,27,2,1,02,4,1,2
2023HU0828508,1,19,19,90000,2,0,0,-1,90000,0,16,27,2,1,02,4,1,b
2023HU0828508,2,19,27,90000,2,0,0,-1,90000,0,16,27,2,1,02,4,1,b
2023HU0828637,1,16,16,31000,5,2,0,-1,31000,0,47,27,2,1,01,2,1,2
2023HU0828637,2,16,16,31000,5,2,0,-1,31000,0,47,27,2,1,01,2,1,b
2023HU0828637,3,16,16,31000,5,2,0,-1,31000,0,47,27,2,1,01,2,1,2
2023HU0828637,4,16,19,31000,5,2,0,-1,31000,0,47,27,2,1,01,2,1,b
2023HU0828637,5,16,7,31000,5,2,0,-1,31000,0,47,27,2,1,01,2,1,2
2023HU0828646,1,139,138,57000,2,0,29,-1,57000,0,0,27,3,1,02,4,1,b
2023HU0828646,2,139,82,57000,2,0,29,-1,57000,0,0,27,3,1,02,4,1,2
2023HU0828723,1,88,88,64600,2,0,0,-1,64600,0,18,27,2,1,02,4,1,b
2023HU0828723,2,88,89,64600,2,0,0,-1,64600,0,18,27,2,1,02,4,1,b
2023HU0828759,1,40,40,121600,2,0,0,-1,121600,0,10,27,2,1,02,4,1,b
2023HU0828759,2,40,37,121600,2,0,0,-1,121600,0,10,27,2,1,02,4,1,b
2023HU0828857,1,83,83,234000,5,1,0,-1,110000,2000,12,27,1,1,01,1,1,b
2023HU0828857,2,83,79,234000,5,1,0,-1,110000,2000,12,27,1,1,01,1,4,2
2023HU0828857,3,83,68,234000,5,1,0,-1,110000,2000,12,27,1,1,01,1,1,b
2023HU0828857,4,83,46,234000,5,1,0,-1,110000,2000,12,27,1,1,01,1,1,2
2023HU0828857,5,83,51,234000,5,1,0,-1,110000,2000,12,27,1,1,01,1,1,b
2023HU0828911,1,151,151,250000,5,3,0,-1,250000,3300,18,27,1,1,01,2,1,2
2023HU0828911,2,151,138,250000,5,3,0,-1,250000,3300,18,27,1,1,01,2,1,b
2023HU0828911,3,151,136,250000,5,3,0,-1,250000,3300,18,27,1,1,01,2,1,b
2023HU0828911,4,151,165,250000,5,3,0,-1,250000,3300,18,27,1,1,01,2,1,b
2023HU0828911,5,151,134,250000,5,3,0,-1,250000,3300,18,27,1,1,01,2,1,b
2023HU0828934,1,167,168,152000,1,0,0,-1,-60000,2500,24,27,1,6,05,4,1,b
2023HU0829013,1,22,22,85000,1,0,0,-1,-60000,0,6,27,2,4,09,4,1,b
2023HU0829151,1,27,27,65600,3,0,0,-1,65600,830,21,27,1,1,02,4,1,b
2023HU0829151,2,27,40,65600,3,0,0,-1,65600,830,21,27,1,1,02,4,1,b
2023HU0829151,3,27,33,65600,3,0,0,-1,65600,830,21,27,1,1,02,4,1,2
2023HU0829203,1,14,14,50000,1,0,0,1400,-60000,0,8,27,2,4,09,4,1,b
2023HU0829204,1,34,34,81700,5,0,29,-1,81700,0,0,27,3,3,07,4,1,2
2023HU0829204,2,34,5,81700,5,0,29,-1,81700,0,0,27,3,3,07,4,1,2
2023HU0829204,3,34,4,81700,5,0,29,-1,81700,0,0,27,3,3,07,4,1,b
2023HU0829204,4,34,19,81700,5,0,29,-1,81700,0,0,27,3,3,07,4,1,b
2023HU0829204,5,34,5,81700,5,0,29,-1,81700,0,0,27,3,3,07,4,1,b
2023HU0829316,1,659,659,57500,1,0,32,-1,-60000,0,0,27,3,4,09,4,1,b
2023HU0829371,1,21,21,43300,2,0,0,-1,43300,0,14,27,2,1,02,4,1,b
2023HU0829371,2,21,27,43300,2,0,0,-1,43300,0,14,27,2,1,02,4,1,b
2023HU0829375,1,149,150,180000,4,0,0,-1,120000,730,6,27,1,3,07,4,1,b
2023HU0829375,2,149,122,180000,4,0,0,-1,120000,730,6,27,1,3,07,4,1,b
2023HU0829375,3,149,103,180000,4,0,0,-1,120000,730,6,27,1,3,07,4,1,b
2023HU0829375,4,149,139,180000,4,0,0,-1,120000,730,6,27,1,3,07,4,1,2
2023HU0829415,1,133,133,182000,2,0,0,-1,182000,1600,12,27,1,1,02,4,1,b
2023HU0829415,2,133,116,182000,2,0,0,-1,182000,1600,12,27,1,1,02,4,1,b
2023HU0829516,1,101,101,48600,1,0,0,-1,-60000,0,12,27,2,6,05,4,1,b
2023HU0829523,1,19,19,134000,2,0,0,-1,134000,200,8,27,1,1,02,4,1,2
2023HU0829523,2,19,24,134000,2,0,0,-1,134000,200,8,27,1,1,02,4,1,b
2023HU0829640,1,43,42,50000,1,0,10,-1,-60000,0,0,27,3,4,09,4,1,b
2023HU0829839,1,36,35,138000,4,2,0,-1,138000,1200,18,27,1,1,01,2,1,2
2023HU0829839,2,36,30,138000,4,2,0,-1,138000,1200,18,27,1,1,01,2,1,b
2023HU0829839,3,36,35,138000,4,2,0,-1,138000,1200,18,27,1,1,01,2,1,b
2023HU0829839,4,36,26,138000,4,2,0,-1,138000,1200,18,27,1,1,01,2,1,b
2023HU0829873,1,19,19,160600,2,0,0,-1,160600,0,9,27,2,1,02,4,1,b
2023HU0829873,2,19,16,160600,2,0,0,-1,160600,0,9,27,2,1,02,4,1,b
2023HU0829909,1,15,15,98400,1,0,0,-1,-60000,0,29,27,2,6,05,4,1,b
2023HU0829950,1,33,33,155700,4,2,0,-1,155700,0,7,27,2,1,01,2,1,2
2023HU0829950,2,33,33,155700,4,2,0,-1,155700,0,7,27,2,1,01,2,1,b
2023HU0829950,3,33,33,155700,4,2,0,-1,155700,0,7,27,2,1,01,2,1,b
2023HU0829950,4,33,31,155700,4,2,0,-1,155700,0,7,27,2,1,01,2,1,b
2023HU0829968,1,774,774,53000,1,0,13,-1,-60000,0,0,27,3,4,09,4,5,b
2023HU0829994,1,297,297,108000,2,0,0,-1,-60000,1400,29,27,1,7,08,4,4,b
2023HU0829994,2,297,259,108000,2,0,0,-1,-60000,1400,29,27,1,7,08,4,4,b
2023HU0830078,1,20,20,28800,2,0,0,-1,28800,0,32,27,2,1,02,4,1,b
2023HU0830078,2,20,20,28800,2,0,0,-1,28800,0,32,27,2,1,02,4,1,b
2023HU0830108,1,56,55,2500,4,2,0,-1,2500,310,101,27,1,1,01,2,1,b
2023HU0830108,2,56,35,2500,4,2,0,-1,2500,310,101,27,1,1,01,2,4,2
2023HU0830108,3,56,37,2500,4,2,0,-1,2500,310,101,27,1,1,01,2,3,b
2023HU0830108,4,56,37,2500,4,2,0,-1,2500,310,101,27,1,1,01,2,3,b
2023HU0830157,1,99,99,10000,3,2,101,-1,10000,0,0,27,3,3,06,2,1,2
2023HU0830157,2,99,82,10000,3,2,101,-1,10000,0,0,27,3,3,06,2,1,b
2023HU0830157,3,99,75,10000,3,2,101,-1,10000,0,0,27,3,3,06,2,1,b
2023HU0830208,1,104,104,144200,2,0,0,-1,144200,0,6,27,2,1,02,4,1,b
